TESTCASENAME,INPUTACTION,ELEMENTSEARCHTYPE,ELEMENTSEARCHVALUE,USERINPUT,EXPECTEDPROPERTY,EXPECTEDVALUE,NOTES
TC_7,LAUNCHBROWSER,,,,,,
TC_7,OPENURL,,,https://dlg14app:20143/SDPUI/pages/login/login.jsf,,,Open SDP URL
TC_7,SETTEXT,ID,j_username,tester,,,Log in to SDP UI
TC_7,SETTEXT,ID,j_password,test1234,,,Log in to SDP UI
TC_7,CLICK,NAME,submit,,,,Clicking on Submit to go to home page of SDP UI
TC_7,CLICK,ID,plinko_form:plkConfig,,,,Config Rule tab able to Click under Plinko
TC_7,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42""]/a/span",,,,Clicking on Menu 
TC_7,CLICK,XPATH,"//*[@id=""frmApp:j_idt41:j_idt42:j_idt46:link""]/span",,,,Placing Cursor on Bundle Offer Matrix 
TC_7,CLICK,XPATH,//*[@id="frmApp:j_idt41:j_idt42:j_idt46:j_idt49:out"],,,,Click on Incoming Contract Pending Cancel
TC_7,CLICK,XPATH,//*[@id="prg_item_form:cmdInsertBtmDtl"],,,,Click on Insert
TC_7,SETTEXT,XPATH,//*[@id="prg_item_form:datatable:0:j_idt57"],STANDALONE S2,,Enter Description
TC_7,SETTEXT,XPATH,//*[@id="prg_item_form:datatable:0:j_idt62"],S,,,Enter Eligible Contracts
TC_7,SETTEXT,XPATH,//*[@id="prg_item_form:datatable:0:j_idt67"],S,,,Enter CCC Screen offers
TC_7,CLICK,XPATH,//*[@id="prg_item_form:cmdSaveBtmDtl"],,,,Click Save
TC_7,CLICK,ID,logout_button,,,,Performing Logout
TC_7,CLOSEBROWSER,,,,,,Closing the Browser
