TESTCASENAME,INPUTACTION,ELEMENTSEARCHTYPE,ELEMENTSEARCHVALUE,USERINPUT,EXPECTEDPROPERTY,EXPECTEDVALUE,NOTES
TC_4,LAUNCHBROWSER,,,,,,
TC_4,OPENURL,,,https://dlg14app:20143/SDPUI/pages/login/login.jsf,,,Open SDP URL
TC_4,SETTEXT,ID,j_username,tester,,,Log in to SDP UI
TC_4,SETTEXT,ID,j_password,test1234,,,Log in to SDP UI
TC_4,CLICK,NAME,submit,,,,Clicking on Submit to go to home page of SDP UI
TC_4,CLICK,XPATH,"//*[@id=""plinko_form:plkConfig""]",,,,Config Rules Verifying that able to Click Tab under Plinko 
TC_4,CLICK,XPATH,"//*[@id=""frmApp:j_idt55:j_idt56""]/a/span",,,,ClickinG on Menu button on Email Bundle Breaker Rule
TC_4,CLICK,XPATH,"//*[@id=""frmApp:j_idt55:j_idt56:j_idt58:out""]",,,,Selecting 10 Bundle Offer Matrix
TC_4,CLICK,XPATH,"//*[@id=""prg_item_form:cmdInsertBtmDtl""]",,,,Clicking on Insert Button
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:0:j_idt57""]",Standalone M Scenario,,,
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:0:j_idt61""]",M,,,
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:0:j_idt65""]",M,,,Inputing M
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:1:j_idt57""]",Bundle MSTSS,,,Inputing MS/TS
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:1:j_idt61""]",MT,,,Inputing eligible contracts
TC_4,SETTEXT,XPATH,"//*[@id=""prg_item_form:datatable:1:j_idt65""]",MT,,,
TC_4,CLICK,XPATH,"//*[@id=""prg_item_form:cmdSaveBtmDtl""]",,,,Click Save
TC_4,CLICK,ID,logout_button,,,,Performing Logout
TC_4,CLOSEBROWSER,,,,,Closing the Browser,
